Designator,Mid X,Mid Y,Rotation,Layer
C1,237.49,-132.2475,270.0,top
C2,228.092,-132.2475,90.0,top
C3,248.594,-133.6425,270.0,top
C4,242.538,-119.4255,90.0,top
C5,212.768,-80.9875,180.0,top
C6,238.252,-65.258,90.0,top
C7,211.2045,-73.1135,180.0,top
C8,231.14,-81.026,0.0,top
D1,251.46,-67.8545,270.0,top
D2,206.248,-58.928,270.0,top
F1,213.106,-55.372,0.0,top
HS1,52.2605,-64.5645,0.0,top
J1,206.662,-109.22,0.0,top
J2,223.346,-109.22,0.0,top
J3,231.902,-55.452,270.0,top
J4,245.11,-55.452,270.0,top
Q1,256.016,-62.2665,180.0,top
Q10,82.982,-130.1205,0.0,top
Q11,160.971,-129.6125,0.0,top
Q12,166.04,-130.1205,0.0,top
Q13,93.407,-61.6075,180.0,top
Q14,88.348,-61.2115,180.0,top
Q2,251.952,-62.2665,180.0,top
Q3,233.106,-120.4185,270.0,top
Q4,241.004,-131.014,180.0,top
Q5,242.554,-113.8375,0.0,top
Q6,231.56,-139.2305,180.0,top
Q7,176.433,-61.5405,180.0,top
Q8,171.374,-61.0325,180.0,top
Q9,77.881,-129.6125,0.0,top
R1,208.28,-96.722,270.0,top
R10,223.52,-101.854,270.0,top
R11,228.346,-99.288,270.0,top
R12,234.357332,-132.2475,270.0,top
R13,231.224666,-132.2475,90.0,top
R14,233.178,-125.111,270.0,top
R15,240.512,-126.875,0.0,top
R16,247.618,-113.8115,90.0,top
R17,247.618,-119.4255,90.0,top
R18,236.148,-139.2045,270.0,top
R19,242.524,-139.2305,0.0,top
R2,208.28,-101.854,270.0,top
R20,247.858,-139.2305,180.0,top
R21,206.528,-89.916,0.0,top
R22,211.888,-89.916,0.0,top
R23,217.196,-89.916,0.0,top
R24,211.602,-67.7065,180.0,top
R25,211.14,-76.9235,180.0,top
R26,207.356,-80.9615,270.0,top
R27,167.061,-54.1745,180.0,top
R28,170.099,-54.1745,0.0,top
R29,87.041,-136.9785,0.0,top
R3,213.36,-96.722,270.0,top
R30,84.003,-136.9785,180.0,top
R31,170.353,-136.9785,0.0,top
R32,167.315,-136.9785,180.0,top
R33,84.257,-54.4955,180.0,top
R34,87.549,-54.4285,0.0,top
R35,208.56,-115.57,0.0,top
R36,208.606,-121.1965,0.0,top
R37,208.606,-123.9905,0.0,top
R38,208.58,-118.364,0.0,top
R39,217.398,-140.285,180.0,top
R4,213.36,-101.828,270.0,top
R40,222.826,-140.285,0.0,top
R5,256.54,-67.8545,90.0,top
R6,218.44,-96.722,270.0,top
R7,218.44,-101.854,270.0,top
R8,254.0,-58.2025,0.0,top
R9,223.52,-96.722,270.0,top
RV1,246.634,-96.5175,0.0,top
RV2,217.77,-70.5735,0.0,top
RV3,225.644,-70.5735,0.0,top
RV4,214.122,-132.1185,0.0,top
RV5,222.25,-132.1185,0.0,top
U1,221.404,-80.9875,180.0,top
